[2025-09-05 12:56:55] [INFO    ] discord.client: logging in using static token
[2025-09-05 12:56:55] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-09-05 12:56:55] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-09-05 12:56:55] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1413581415747944538', 'username': 'BSTR LFG Bot', 'avatar': '854a62f55c42c04a9fbb82392b2d1868', 'discriminator': '4614', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-09-05 12:56:55] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-09-05 12:56:55] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-09-05 12:56:55] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1413581415747944538', 'name': 'BSTR LFG Bot', 'icon': '854a62f55c42c04a9fbb82392b2d1868', 'description': '', 'type': None, 'bot': {'id': '1413581415747944538', 'username': 'BSTR LFG Bot', 'avatar': '854a62f55c42c04a9fbb82392b2d1868', 'discriminator': '4614', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'cd74619e5fb255eff06319ff0e97bb598fcb8c90a6d69f747352f205f24addd9', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '441386174670438401', 'username': 'alphahog12', 'avatar': '8835431b0b1b18993c79f22f789348fb', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'AlphaHog12', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': {'identity_guild_id': '911035631193444412', 'identity_enabled': True, 'tag': 'BSTR', 'badge': '79366e8660935912726217b413fcc19b'}, 'primary_guild': {'identity_guild_id': '911035631193444412', 'identity_enabled': True, 'tag': 'BSTR', 'badge': '79366e8660935912726217b413fcc19b'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-09-05 12:56:55] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-09-05 12:56:55] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-h046",{"micros":0.0}]']}}
[2025-09-05 12:56:55] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-09-05 12:56:55] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
